x,y,data
137.75,98.70500000000001,26.36630085863067
147.25,115.13999999999999,27.609990722479854
142.5,123.405,30.964865669609022
137.75,115.13999999999999,31.440889946257983
133.0,106.97,36.08427987800229
128.25,115.13999999999999,18.577232736395445
99.75,98.70500000000001,28.83134842414009
95.0,90.535,27.269049294460537
95.0,106.97,37.92200094941846
90.25,98.70500000000001,30.180750822100368
85.5,90.535,37.883692826982774
85.5,106.97,26.813377742390518
80.75,98.70500000000001,28.223022029983674
76.0,90.535,32.89431072522942
76.0,106.97,36.31134630507407
71.25,98.70500000000001,27.54284711065901
66.5,90.535,27.852182488847614
66.5,106.97,20.00536089150177
61.75,98.70500000000001,28.99980872389616
57.0,90.535,24.874531672399943
57.0,106.97,40.46037214395603
52.25,98.70500000000001,30.487286300444378
47.5,90.535,28.506413401962856
47.5,106.97,39.392073410967654
85.5,123.405,32.79140096914616
80.75,115.13999999999999,19.922661229035473
80.75,131.67,39.84616980017945
76.0,123.405,33.53722080105668
71.25,115.13999999999999,29.512522755686938
71.25,131.67,24.307689013234274
66.5,123.405,33.49594358778965
61.75,115.13999999999999,33.57120455199125
61.75,131.67,36.32839329981582
57.0,123.405,31.56303133114789
52.25,115.13999999999999,25.158492541503627
52.25,131.67,34.705095170154635
47.5,123.405,31.519251612657115
42.75,115.13999999999999,24.884941826392826
42.75,131.67,31.786027325397704
38.0,123.405,28.578885483286715
33.25,115.13999999999999,43.152595656678216
33.25,131.67,30.24498817684452
28.5,123.405,26.009571775587958
23.75,115.13999999999999,35.6576692283125
23.75,131.67,25.403434439511006
19.0,123.405,29.718362592463855
14.25,115.13999999999999,23.890107817675663
14.25,131.67,31.97013733355385
9.5,123.405,23.895192950857076
4.75,115.13999999999999,38.24529328210514
4.75,131.67,38.5369025634125
42.75,98.70500000000001,33.59537649424422
38.0,90.535,30.83151197886289
38.0,106.97,30.927813882214465
33.25,98.70500000000001,31.61565951733962
28.5,90.535,27.668539739763425
28.5,106.97,24.68973955739677
23.75,98.70500000000001,23.572583761464386
19.0,90.535,33.97154260355767
19.0,106.97,30.490330599867963
175.75,49.4,31.789929373322348
175.75,65.835,30.045425230727503
171.0,57.56999999999999,32.876747856652756
166.25,65.835,26.581163454281484
161.5,57.56999999999999,25.59524933023657
161.5,74.005,36.15957329230056
156.75,65.835,34.64881619822591
152.0,74.005,23.240975157618923
147.25,65.835,20.893138615958662
171.0,74.005,21.742716754242952
166.25,82.27,19.81969542007944
161.5,90.535,26.84131227738679
156.75,82.27,27.98904519535622
156.75,98.70500000000001,27.72217561142776
152.0,90.535,31.225444744353037
147.25,82.27,34.811989419495546
142.5,90.535,31.40872490721989
133.0,90.535,34.63595274259602
142.5,74.005,22.49904241498753
137.75,65.835,35.70358500911864
137.75,82.27,22.96082465509435
133.0,74.005,40.3433088271083
128.25,65.835,37.06706862099977
128.25,82.27,34.98561938874018
123.5,74.005,32.977959047949426
118.75,65.835,41.06771480948065
118.75,82.27,28.22099436599838
114.0,74.005,24.45684448657134
109.25,65.835,32.391832601365294
109.25,82.27,35.943669721349856
104.5,74.005,28.61697585344627
99.75,65.835,38.39056502390429
99.75,82.27,28.18355288573652
95.0,74.005,34.379686886001096
90.25,65.835,31.831707846692865
90.25,82.27,30.47879291752595
85.5,74.005,19.825891295094284
80.75,65.835,30.882892386952232
80.75,82.27,37.157856994872176
76.0,74.005,26.739312001697073
71.25,65.835,28.920022539719223
71.25,82.27,29.861743201920124
66.5,74.005,28.75071643609401
61.75,65.835,37.97752271504969
61.75,82.27,26.75842321902923
57.0,74.005,32.351175713375156
52.25,65.835,30.44756060904112
52.25,82.27,30.155893420162986
47.5,74.005,31.99087502074391
42.75,65.835,23.986116865248988
42.75,82.27,36.0109395494328
38.0,74.005,28.00000280872731
33.25,65.835,29.84106645514138
33.25,82.27,28.541404072069017
28.5,74.005,20.810623541074936
23.75,65.835,27.26998228174921
23.75,82.27,39.79006543488411
19.0,74.005,28.915017193856603
14.25,65.835,22.572823171736058
14.25,82.27,29.043870456169913
9.5,74.005,28.423490353816355
4.75,65.835,25.818535257921567
4.75,82.27,26.325851651279876
14.25,98.70500000000001,27.991178163629787
9.5,90.535,33.20181008269438
9.5,106.97,30.649868350551817
4.75,98.70500000000001,42.404744642149055
-0.0,90.535,27.56155832902465
-0.0,106.97,35.64450055952177
-4.75,98.70500000000001,22.362707178028653
-9.5,90.535,27.80755379569528
-9.5,106.97,24.93011526369292
185.25,16.435,31.302896071322763
185.25,32.87,34.159255231374495
180.5,24.7,20.29231583932436
175.75,16.435,29.747868055659264
180.5,41.135,27.221306229856136
175.75,32.87,31.83285582706641
171.0,41.135,32.684722047944454
